name,address,brand,gasoline,diesel,self,wash,charging,center,store,night,gu,lat,lng
동일주유소,서울특별시 성북구  보문로 85 (보문동5가),S-OIL,"1,635","1,535",Y,Y,N,N,N,Y,성북구,37.58270419999999,127.0191918
HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96,HD현대오일뱅크,"1,635","1,465",N,Y,N,N,N,N,성북구,37.600488,127.0142664
삼선주유소,서울 성북구 창경궁로 324,S-OIL,"1,695","1,495",Y,Y,N,N,N,N,성북구,37.5879888,127.005574
한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,"1,613","1,463",Y,Y,N,Y,N,Y,송파구,37.4993144,127.0970662
지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),HD현대오일뱅크,"1,613","1,463",Y,Y,N,Y,N,Y,송파구,37.5016713,127.0973336
(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,"1,623","1,483",Y,Y,N,N,N,N,송파구,37.5045958,127.0773693
(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,"1,623","1,483",Y,Y,N,Y,N,Y,송파구,37.5051072,127.1135469
송파스마일주유소,서울 송파구 송이로 28,GS칼텍스,"1,623","1,463",Y,N,N,Y,N,N,송파구,37.5026163,127.1164968
(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58,GS칼텍스,"1,623","1,483",Y,Y,N,N,N,N,송파구,37.4912353,127.1153533
위례제일주유소 (주)버드에너지,서울 송파구 위례서로 260,S-OIL,"1,623","1,474",Y,Y,N,N,N,N,송파구,37.4878153,127.1426953
삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,"1,623","1,483",Y,N,N,N,N,Y,송파구,37.5065882,127.0810065
상아주유소,서울 송파구 거마로 82,S-OIL,"1,627","1,464",Y,Y,N,N,N,N,송파구,37.500202,127.1478703
위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,"1,633","1,483",Y,Y,N,N,N,Y,송파구,37.4754274,127.1284707
지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,"1,633","1,493",Y,Y,N,N,N,N,송파구,37.4754161,127.1321545
(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),SK에너지,"1,633","1,473",Y,Y,N,Y,N,Y,송파구,37.4994902,127.1017419
지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,"1,633","1,483",Y,Y,N,N,N,Y,송파구,37.4972962,127.0892473
남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,"1,633","1,483",Y,Y,N,Y,N,Y,송파구,37.4753841,127.1275855
HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397,HD현대오일뱅크,"1,643","1,493",Y,N,N,N,N,Y,송파구,37.5027277,127.108967
완불주유소,서울 송파구 송파대로 3,SK에너지,"1,645","1,503",Y,Y,N,N,N,Y,송파구,37.4711097,127.1261708
대성주유소,서울 송파구 마천로 230,SK에너지,"1,648","1,488",N,Y,N,N,N,N,송파구,37.500054,127.1431473
백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,"1,653","1,496",Y,Y,N,Y,Y,Y,송파구,37.5122326,127.1168766
(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,"1,653","1,496",N,Y,N,N,N,N,송파구,37.5045778,127.1384385
(유)호림플러스홀딩스 남성주유소,서울 송파구 백제고분로 474,HD현대오일뱅크,"1,657","1,499",Y,Y,N,N,N,N,송파구,37.5125917,127.1139709
제트라인DM주유소,서울 송파구 중대로 183 (가락동),HD현대오일뱅크,"1,665","1,530",N,N,N,Y,N,N,송파구,37.4985047,127.125431
(주)정직한주유소,서울 송파구 오금로 455 (거여동),HD현대오일뱅크,"1,667","1,527",Y,Y,N,N,N,N,송파구,37.4897279,127.1449912
(주)삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,"1,677","1,537",Y,Y,N,N,N,N,송파구,37.49238570000001,127.1273583
대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,"1,677","1,537",N,N,N,Y,N,N,송파구,37.5028242,127.0985725
방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,"1,695","1,574",N,Y,N,Y,N,N,송파구,37.5106744,127.1208223
HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),HD현대오일뱅크,"1,699","1,599",Y,Y,N,Y,N,Y,송파구,37.509825,127.131607
대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),SK에너지,"1,898","1,768",N,Y,N,N,N,N,송파구,37.5336683,127.1206178
현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,"1,557","1,416",Y,Y,N,N,N,N,양천구,37.5338727,126.8292625
HD현대오일뱅크㈜직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),HD현대오일뱅크,"1,578","1,519",Y,Y,N,N,Y,Y,양천구,37.5194921,126.8388027
플라트(주)서호주유소,서울 양천구 남부순환로 317,GS칼텍스,"1,578","1,434",Y,Y,N,Y,N,N,양천구,37.5386609,126.8268367
양천구주유소,서울 양천구 국회대로 275,알뜰주유소,"1,589","1,457",Y,Y,N,Y,N,Y,양천구,37.5303149,126.8655168
지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,"1,590","1,455",Y,Y,N,N,N,N,양천구,37.510561,126.8476971
가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,"1,594","1,434",N,Y,N,N,N,Y,양천구,37.5370157,126.8342852
개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,"1,595","1,445",Y,Y,N,Y,N,N,양천구,37.5282825,126.8329476
형산석유(주)원주유소,서울 양천구 남부순환로 408,HD현대오일뱅크,"1,595","1,445",N,Y,N,Y,N,N,양천구,37.53113889999999,126.8309818
현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,HD현대오일뱅크,"1,629","1,519",Y,Y,N,N,N,N,양천구,37.5106675,126.8710352
SK에너지㈜ 신평,서울 양천구 목동남로 62,SK에너지,"1,638","1,502",N,Y,N,Y,N,N,양천구,37.5093842,126.866217
신정동주유소,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크,"1,657","1,497",Y,Y,N,N,Y,N,양천구,37.5065537,126.8711542
삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,"1,664","1,509",Y,N,N,Y,N,N,양천구,37.5255016,126.8497956
목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,"1,679","1,556",Y,Y,N,N,N,N,양천구,37.5396159,126.8745755
(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,"1,681","1,566",Y,Y,N,N,N,N,양천구,37.5321651,126.8755188
지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,"1,681","1,579",Y,Y,Y,N,N,N,양천구,37.5453243,126.8821112
현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),HD현대오일뱅크,"1,686","1,556",Y,Y,Y,Y,N,Y,양천구,37.5459778,126.8813541
(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),HD현대오일뱅크,"1,689","1,539",N,Y,N,N,N,N,양천구,37.5094872,126.8392408
SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,"1,699","1,581",Y,Y,N,N,N,N,양천구,37.5281554,126.8538235
신양주유소,서울 양천구 지양로 67,SK에너지,"1,739","1,639",N,Y,N,N,N,N,양천구,37.5215246,126.8338425
